"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'null')",[17]
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'JumpInsnNode.java')","[6606, 29966, 53352, 76712, 100253, 123913, 146715]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MethodVisitor.java')","[9086, 32446, 55832, 79192, 102795, 126331, 149133]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'CheckFieldAdapter.java')","[18406, 41766, 65152, 88512, 112348, 135418, 158220]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'CoreMatchers.java')","[11206, 34566, 57952, 81312, 104968, 128398, 151200]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'CheckClassAdapter.java')","[12966, 36326, 59712, 83072, 106772, 130114, 152916]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'IsAnything.java')","[3926, 27286, 50672, 74032, 97506, 121300, 144102]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Type.java')","[23646, 47006, 70392, 93752, 117719, 140527, 163329]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'InstanceOf.java')","[23526, 46886, 70272, 93632, 117596, 140410, 163212]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'CodeGenerationException.java')","[19966, 43326, 66712, 90072, 113947, 136939, 159741]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'WarningsFinder.java')","[16086, 39446, 62832, 86192, 109970, 133156, 155958]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'InOrderWrapper.java')","[20566, 43926, 67312, 90672, 114562, 137524, 160326]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'emptyLineShouldBeAccepted(org.nuunframework.cli.NuunCliPluginEmptyLineTest)')","[179, 364]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'AbstractInterceptFieldCallback.java')","[14046, 37406, 60792, 84152, 107879, 131167, 153969]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'NameBasedCandidateFilter.java')","[16166, 39526, 62912, 86272, 110052, 133234, 156036]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ASMifiable.java')","[20046, 43406, 66792, 90152, 114029, 137017, 159819]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'SignatureWriter.java')","[9246, 32606, 55992, 79352, 102959, 126487, 149289]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'BaseInstantiatorStrategy.java')","[17926, 41286, 64672, 88032, 111856, 134950, 157752]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'CallsRealMethods.java')","[7326, 30686, 54072, 77432, 100991, 124615, 147417]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'InterceptFieldTransformer.java')","[2846, 26206, 49592, 72952, 96399, 120247, 143049]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'JUnit44RunnerImpl.java')","[686, 24046, 47432, 70792, 94185, 118141, 140943]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MockitoMethod.java')","[6046, 29406, 52792, 76152, 99679, 123367, 146169]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'IdentitySet.java')","[14326, 37686, 61072, 84432, 108166, 131440, 154242]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Sun13InstantiatorBase.java')","[10326, 33686, 57072, 80432, 104066, 127540, 150342]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ClassAdapter.java')","[10486, 33846, 57232, 80592, 104230, 127696, 150498]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'NonGreedyNumberOfInvocationsInOrderChecker.java')","[21886, 45246, 68632, 91992, 115915, 138811, 161613]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'GCJInstantiator.java')","[13646, 37006, 60392, 83752, 107469, 130777, 153579]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'StackTraceCleaner.java')","[7046, 30406, 53792, 77152, 100704, 124342, 147144]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'org.nuunframework.cli.NuunCliPluginEmptyLineTest')","[158, 117868]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MockitoJUnit44Runner.java')","[10966, 34326, 57712, 81072, 104722, 128164, 150966]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'InsnNode.java')","[9446, 32806, 56192, 79552, 103164, 126682, 149484]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'PropertyKey.java')","[22046, 45406, 68792, 92152, 116079, 138967, 161769]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'SunReflectionFactorySerializationInstantiator.java')","[9766, 33126, 56512, 79872, 103492, 126994, 149796]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'LocationImpl.java')","[14766, 38126, 61512, 84872, 108617, 131869, 154671]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'startSync_works_as_expected(org.nuunframework.cli.NuunCliPluginCallableTest)')","[118, 322]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'IntInsnNode.java')","[8286, 31646, 55032, 78392, 101975, 125551, 148353]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MethodInvocationReport.java')","[17646, 41006, 64392, 87752, 111569, 134677, 157479]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ClassNameReader.java')","[17446, 40806, 64192, 87552, 111364, 134482, 157284]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'IsSame.java')","[1046, 24406, 47792, 71152, 94554, 118492, 141294]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'CreationSettings.java')","[8966, 32326, 55712, 79072, 102672, 126214, 149016]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'NullInstantiator.java')","[14486, 37846, 61232, 84592, 108330, 131596, 154398]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'CheckAnnotationAdapter.java')","[18206, 41566, 64952, 88312, 112143, 135223, 158025]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'SearchingClassLoader.java')","[5526, 28886, 52272, 75632, 99146, 122860, 145662]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MissingInvocationChecker.java')","[4806, 28166, 51552, 74912, 98408, 122158, 144960]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'StackTraceCleanerProvider.java')","[14126, 37486, 60872, 84232, 107961, 131245, 154047]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'BasicVerifier.java')","[4006, 27366, 50752, 74112, 97588, 121378, 144180]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'FieldVisitor.java')","[11886, 35246, 58632, 81992, 105665, 129061, 151863]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'org.nuunframework.cli.NuunCliPluginCallableItTest')","[198, 140670]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ArgumentMatcherStorage.java')","[20286, 43646, 67032, 90392, 114275, 137251, 160053]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'OngoingInjecter.java')","[6126, 29486, 52872, 76232, 99761, 123445, 146247]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'AllOf.java')","[18446, 41806, 65192, 88552, 112389, 135457, 158259]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'AddStaticInitTransformer.java')","[21246, 44606, 67992, 91352, 115259, 138187, 160989]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'DefaultStackTraceCleanerProvider.java')","[10926, 34286, 57672, 81032, 104681, 128125, 150927]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'CallbackInfo.java')","[12286, 35646, 59032, 82392, 106075, 129451, 152253]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'EndsWith.java')","[15726, 39086, 62472, 85832, 109601, 132805, 155607]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'FieldVisitorTee.java')","[4766, 28126, 51512, 74872, 98367, 122119, 144921]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'TooLittleActualInvocations.java')","[6846, 30206, 53592, 76952, 100499, 124147, 146949]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'When.java')","[9326, 32686, 56072, 79432, 103041, 126565, 149367]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ConsecutiveStubbing.java')","[5286, 28646, 52032, 75392, 98900, 122626, 145428]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Opcodes.java')","[12886, 36246, 59632, 82992, 106690, 130036, 152838]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'BaseMatcher.java')","[14366, 37726, 61112, 84472, 108207, 131479, 154281]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'FrameNode.java')","[646, 24006, 47392, 70752, 94144, 118102, 140904]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'TraceSignatureVisitor.java')","[3006, 26366, 49752, 73112, 96563, 120403, 143205]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'WarningsCollector.java')","[726, 24086, 47472, 70832, 94226, 118180, 140982]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ObjenesisSerializer.java')","[12006, 35366, 58752, 82112, 105788, 129178, 151980]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'FastClassEmitter.java')","[22686, 46046, 69432, 92792, 116735, 139591, 162393]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'BaseDescription.java')","[8486, 31846, 55232, 78592, 102180, 125746, 148548]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MockitoJUnitRunner.java')","[21526, 44886, 68272, 91632, 115546, 138460, 161262]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Any.java')","[1806, 25166, 48552, 71912, 95333, 119233, 142035]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'VerificationDataInOrder.java')","[11806, 35166, 58552, 81912, 105583, 128983, 151785]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'asm-license.txt')","[2686, 26046, 49432, 72792, 96235, 120091, 142893]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'WillNotClose.java')","[11846, 35206, 58592, 81952, 105624, 129022, 151824]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ClassFilterTransformer.java')","[11366, 34726, 58112, 81472, 105132, 128554, 151356]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'NoInteractionsWanted.java')","[19926, 43286, 66672, 90032, 113906, 136900, 159702]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'SignatureReader.java')","[5846, 29206, 52592, 75952, 99474, 123172, 145974]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Contains.java')","[20006, 43366, 66752, 90112, 113988, 136978, 159780]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'FixedKeySet.java')","[16806, 40166, 63552, 86912, 110708, 133858, 156660]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Localized.java')","[16886, 40246, 63632, 86992, 110790, 133936, 156738]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'JUnitFailureHacker.java')","[7766, 31126, 54512, 77872, 101442, 125044, 147846]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MockCreationValidator.java')","[22486, 45846, 69232, 92592, 116530, 139396, 162198]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Equals.java')","[5486, 28846, 52232, 75592, 99105, 122821, 145623]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MethodDelegate.java')","[9486, 32846, 56232, 79592, 103205, 126721, 149523]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'SerializationInstantiatorHelper.java')","[3326, 26686, 50072, 73432, 96891, 120715, 143517]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ClassReaderGenerator.java')","[18126, 41486, 64872, 88232, 112061, 135145, 157947]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'org.nuunframework.cli.NuunRunnerTest')","[238, 163468]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'VerifiableInvocationsFinder.java')","[7166, 30526, 53912, 77272, 100827, 124459, 147261]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Tainted.java')","[23086, 46446, 69832, 93192, 117145, 139981, 162783]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MockHandler.java')","[13286, 36646, 60032, 83392, 107100, 130426, 153228]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MockitoDebuggerImpl.java')","[3846, 27206, 50592, 73952, 97424, 121222, 144024]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ReturnsEmptyValues.java')","[15326, 38686, 62072, 85432, 109191, 132415, 155217]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'PropertyAndSetterInjection.java')","[13806, 37166, 60552, 83912, 107633, 130933, 153735]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'AllInvocationsFinder.java')","[17686, 41046, 64432, 87792, 111610, 134716, 157518]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MatchesPattern.java')","[9166, 32526, 55912, 79272, 102877, 126409, 149211]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'StringSwitcher.java')","[19566, 42926, 66312, 89672, 113537, 136549, 159351]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'FixedValue.java')","[12806, 36166, 59552, 82912, 106608, 129958, 152760]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'DeprecatedOngoingStubbing.java')","[1366, 24726, 48112, 71472, 94882, 118804, 141606]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ClassesKey.java')","[14726, 38086, 61472, 84832, 108576, 131830, 154632]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MethodWrapper.java')","[16486, 39846, 63232, 86592, 110380, 133546, 156348]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'SelfDescribingValue.java')","[2246, 25606, 48992, 72352, 95784, 119662, 142464]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'InstanceField.java')","[10406, 33766, 57152, 80512, 104148, 127618, 150420]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'AnnotationVisitorTee.java')","[16406, 39766, 63152, 86512, 110298, 133468, 156270]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'NOTICE.txt')","[2326, 25686, 49072, 72432, 95866, 119740, 142542]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Decamelizer.java')","[11086, 34446, 57832, 81192, 104845, 128281, 151083]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ListUtil.java')","[10846, 34206, 57592, 80952, 104599, 128047, 150849]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ASMifierAbstractVisitor.java')","[22246, 45606, 68992, 92352, 116284, 139162, 161964]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'NotNull.java')","[2566, 25926, 49312, 72672, 96112, 119974, 142776]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Constants.java')","[7086, 30446, 53832, 77192, 100745, 124381, 147183]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'SimpleVerifier.java')","[18046, 41406, 64792, 88152, 111979, 135067, 157869]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'StringDescription.java')","[20766, 44126, 67512, 90872, 114767, 137719, 160521]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'FieldNode.java')","[16006, 39366, 62752, 86112, 109888, 133078, 155880]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'InvocationContainerImpl.java')","[17286, 40646, 64032, 87392, 111200, 134326, 157128]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MockNameImpl.java')","[11006, 34366, 57752, 81112, 104763, 128203, 151005]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'StubInfo.java')","[19286, 42646, 66032, 89392, 113250, 136276, 159078]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'IsInstanceOf.java')","[1886, 25246, 48632, 71992, 95415, 119311, 142113]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Factory.java')","[19166, 42526, 65912, 89272, 113127, 136159, 158961]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'JRockitLegacyInstantiator.java')","[17606, 40966, 64352, 87712, 111528, 134638, 157440]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MethodInterceptor.java')","[4246, 27606, 50992, 74352, 97834, 121612, 144414]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Frame.java')","[15446, 38806, 62192, 85552, 109314, 132532, 155334]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ThreadSafe.java')","[4886, 28246, 51632, 74992, 98490, 122236, 145038]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'SmartNullPointerException.java')","[4686, 28046, 51432, 74792, 98285, 122041, 144843]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'SerializableMockitoMethodProxy.java')","[8086, 31446, 54832, 78192, 101770, 125356, 148158]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'FastClass.java')","[3806, 27166, 50552, 73912, 97383, 121183, 143985]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Nonnull.java')","[12046, 35406, 58792, 82152, 105829, 129217, 152019]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'RealMethod.java')","[8446, 31806, 55192, 78552, 102139, 125707, 148509]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'IsNull.java')","[23406, 46766, 70152, 93512, 117473, 140293, 163095]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MockInjection.java')","[10286, 33646, 57032, 80392, 104025, 127501, 150303]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'RegEx.java')","[17726, 41086, 64472, 87832, 111651, 134755, 157557]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ReturnsMocks.java')","[21166, 44526, 67912, 91272, 115177, 138109, 160911]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'StubInfoImpl.java')","[19806, 43166, 66552, 89912, 113783, 136783, 159585]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ClassVisitorTee.java')","[16286, 39646, 63032, 86392, 110175, 133351, 156153]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ReturnValues.java')","[1086, 24446, 47832, 71192, 94595, 118531, 141333]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'UnfinishedVerificationException.java')","[8526, 31886, 55272, 78632, 102221, 125785, 148587]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'AnyVararg.java')","[13606, 36966, 60352, 83712, 107428, 130738, 153540]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ArgumentCaptor.java')","[21406, 44766, 68152, 91512, 115423, 138343, 161145]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ObjenesisHelper.java')","[13006, 36366, 59752, 83112, 106813, 130153, 152955]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'LessOrEqual.java')","[20406, 43766, 67152, 90512, 114398, 137368, 160170]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MatchersBinder.java')","[19046, 42406, 65792, 89152, 113004, 136042, 158844]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MockSettingsImpl.java')","[3646, 27006, 50392, 73752, 97219, 121027, 143829]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'IMockitoConfiguration.java')","[22406, 45766, 69152, 92512, 116448, 139318, 162120]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'AtLeastXNumberOfInvocationsChecker.java')","[23046, 46406, 69792, 93152, 117104, 139942, 162744]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'TryCatchBlockNode.java')","[7406, 30766, 54152, 77512, 101073, 124693, 147495]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MockitoSpy.java')","[11646, 35006, 58392, 81752, 105419, 128827, 151629]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ObjenesisBase.java')","[5766, 29126, 52512, 75872, 99392, 123094, 145896]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'NOTICE')","[14006, 37366, 60752, 84112, 107838, 131128, 153930]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Captor.java')","[2166, 25526, 48912, 72272, 95702, 119584, 142386]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ClassReader.java')","[8646, 32006, 55392, 78752, 102344, 125902, 148704]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'VerificationAwareInvocation.java')","[1246, 24606, 47992, 71352, 94759, 118687, 141489]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'TypeInsnNode.java')","[6646, 30006, 53392, 76752, 100294, 123952, 146754]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Traceable.java')","[8006, 31366, 54752, 78112, 101688, 125278, 148080]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'TypeUtils.java')","[18566, 41926, 65312, 88672, 112512, 135574, 158376]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Discrepancy.java')","[5326, 28686, 52072, 75432, 98941, 122665, 145467]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'HasCGLIBMethodProxy.java')","[3246, 26606, 49992, 73352, 96809, 120637, 143439]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ClonesArguments.java')","[12406, 35766, 59152, 82512, 106198, 129568, 152370]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'InjectingAnnotationEngine.java')","[12566, 35926, 59312, 82672, 106362, 129724, 152526]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'InOrderContext.java')","[14526, 37886, 61272, 84632, 108371, 131635, 154437]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ASMifierFieldVisitor.java')","[20686, 44046, 67432, 90792, 114685, 137641, 160443]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'VoidMethodStubbableImpl.java')","[21766, 45126, 68512, 91872, 115792, 138694, 161496]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'pom.xml')","[6206, 29566, 52952, 76312, 99843, 123523, 146325]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'SelfDescribing.java')","[12846, 36206, 59592, 82952, 106649, 129997, 152799]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ClassInfo.java')","[22086, 45446, 68832, 92192, 116120, 139006, 161808]"
