"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'zijn grote wijsheid kent geen grenzen.')","[475866, 475890]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'Tekst  muziek: Randy Spier')","[517222, 517246]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 194$', 'And then the storms may come and go.')","[156435, 156459]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'DOOR UW GENADE, VADER                (369)C')","[595132, 595156]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'EN IK ZAG EN HOORDE EEN STEM       (208)BES')","[393644, 393668]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'Heer, U regeert.')","[746346, 746370]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getSongText', '^gereformeerd kerkboek 111:.*$', 'nu Hij de zaligheid')","[1258886, 1258910]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'in alles wat ik doe,')","[912946, 912970]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'opwekking 638')","[1041669, 1041693]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 194$', 'Slaakt een vreugdekreet voor onze God!')","[150261, 150285]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'HEER, GOD, U LOVEN WIJ                 (7)G')","[196076, 196100]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'als een vuur, als een vuur.')","[649914, 649938, 650551, 650575]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'IK BUIG NEER                         (438)C')","[703030, 703054]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'IN MOMENTS LIKE THESE                (139)C')","[323378, 323402]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 194$', 'Hallelu, halleluja.')","[40011, 40035, 40452, 40476, 40893, 40917]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 194$', 'Jezus houdt van alle kleine kinderen.')","[89109, 89133, 89158, 89182, 89207, 89231]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'machtig God.')","[982575, 982599]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'zijn aangezicht straalt als de zon,')","[776873, 776897]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getSongText', '^gereformeerd kerkboek 111:.*$', 'gereformeerd kerkboek 34: 1-3')","[1231789, 1231813]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'legt uw schepping voor U neer.')","[535744, 535768]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'Jezus, Hij is Koning!')","[204651, 204675]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'Uw genade is zo oneindig groot,')","[1044168, 1044192, 1044413, 1044437]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 194$', 'vluchten demonen voor mij.')","[25752, 25776]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'Tekst  muziek: Donna Adkins')","[331316, 331340]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'die door mensen zijn gemaakt.')","[351651, 351675]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'waar Hij ons redding bracht.')","[901921, 901945]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', ""We spreken uit: 'Wees vrij!'"")","[1099783, 1099807]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'vier nu feest, want God is goed.')","[973657, 973681]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getSongText', '^gereformeerd kerkboek 111:.*$', 'Waarom zult gij dan vragen')","[1287992, 1288016, 1289560, 1289584]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'opwekking 207')","[391341, 391365]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 194$', 'Heer, wij willen leren')","[162364, 162388]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', '    Lifestyle Music /Universal Songs')","[615173, 615197]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'vind ik in zijn Woord')","[408785, 408809]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'Vertrouw dan op zijn kracht,')","[379826, 379850]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'en was mijn leven schoon.')","[879626, 879650]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'alles toont uw macht.')","[1109632, 1109656]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getSongText', '^gereformeerd kerkboek 111:.*$', 'Waakt Hij, schoon geen oog Hem ziet,')","[1358356, 1358380]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 194$', 'Muziek: D. Grant, naar Glorieklokken 322')","[114687, 114711]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 194$', 'shall follow me,                   )2x')","[22273, 22297]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'raak de grond en prijs de Heer.')","[289470, 289494, 289813, 289837, 290156, 290180, 290793, 290817, 291381, 291405]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'Straks zien wij Hem in Zijn glorie.')","[727285, 727309]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'Wees stil en prijs')","[515703, 515727]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getSongText', '^gereformeerd kerkboek 111:.*$', ""het kwaad door u bedreven'."")","[1222675, 1222699]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'opwekking 685')","[1140747, 1140771]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 194$', 'vloeien als een klare stroom.')","[30456, 30480]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getSongText', '^gereformeerd kerkboek 111:.*$', 'Heer, ontferm U, uw gerichten')","[1268686, 1268710]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'als de koning der Joden wordt hij veracht.')","[993453, 993477]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', 'Unisong Music Publishers')","[963563, 963587]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 194$', 'Hij heeft op Golgotha')","[110718, 110742]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 194$', 'Jesus, we love You.')","[144479, 144503]"
"('SongBook.java', 'org.gkvassenpeelo.liedbase.songbook.SongBook', 'getOpwekkingSongTekst', '^opwekking 717$', '680 - Mijn Redder')","[1128448, 1128472]"
