"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'Given the previous entries:(| 2 | 3 | 10 |)')","[5640, 5670, 7988, 8018, 9559, 10802]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'Scenario: Addition')","[4987, 7335, 11322, 11393]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'And I add 20 and 37(| 20 | 37 | 57 |)')","[6749, 6779, 10134]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'Feature: Shopping')",[7115]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', ""Scenario: Depositing money in to User's account should add money to the User's current balance"")","[8972, 13340, 13383]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'Then my change should be 4(Scenario: Give correct change)')","[7265, 7291, 10368]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'Given the previous entries:(| 1 | 2 | 8 |)')","[5318, 5348, 7666, 7696, 9384, 10627]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', ""When £100 is deposited in to the account(Scenario: Depositing money in to User's account should add money to the User's current balance)"")","[9048, 9074, 11263]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'functional.RunCucumberTest')",[4943]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'Given I have a user account with my name ""Jojo Binks""(| Manager | now able to manage your employee accounts |)')","[8379, 8409, 10927, 10952, 12845, 12948]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'And I add 1 and 2(| 1 | 2 | 8 |)')","[5436, 5466, 7784, 7814, 9434, 10677]"
"('Parser.java', 'gherkin.parser.Parser$Machine', 'event', 'push\\((.+)\\)', 'feature')","[452, 809, 1166, 1718, 3179, 4322, 4556]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'Given the previous entries:(| 20 | 30 | 55 |)')","[6309, 6339, 9909]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'Feature: Belly')",[8752]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'Then my belly should growl(Scenario: a few cukes)')","[8902, 8928, 11194]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'When I wait 1 hour(Scenario: a few cukes)')","[8851, 8877, 11171]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'When I pay 25(Scenario: Give correct change)')","[7214, 7240, 10345]"
"('Parser.java', 'gherkin.parser.Parser$Machine', 'event', 'push\\((.+)\\)', 'push(meta)')","[329, 686, 1043, 1595, 1874, 2114, 3056, 3335, 3575]"
