"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'q')","[95486, 95535]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'j')","[84695, 84744]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'N')","[18068, 18117, 54005, 54054, 89447, 89496, 89744, 89793, 100832, 100881, 101525, 101574]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'R')","[17771, 17820, 21236, 21285, 22325, 22374, 44006, 44055, 70736, 70785, 105584, 105633]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', '>')","[11534, 11583, 42719, 42768, 99842, 99891]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'k')","[19355, 19404, 27077, 27126, 61826, 61875]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'G')","[1040, 1089, 9752, 9801, 15197, 15246, 17672, 17721, 42620, 42669, 89843, 89892]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', '2')","[1337, 1386, 5099, 5148, 11138, 11187, 13514, 13563, 15494, 15543, 39947, 39996, 40046, 40095, 42125, 42174, 49550, 49599, 70835, 70884, 81923, 81972, 82022, 82071, 103802, 103851, 103901, 103950]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'f')","[3614, 3663, 13019, 13068, 14999, 15048, 24206, 24255, 25493, 25542, 30938, 30987, 35987, 36036, 43115, 43164, 55688, 55737, 63905, 63954, 65093, 65142, 66974, 67023, 73013, 73062, 92417, 92466, 95189, 95238]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'D')","[18167, 18216, 89546, 89595]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'o')","[2129, 2178, 7079, 7128, 7376, 7425, 7673, 7722, 8564, 8613, 12326, 12375, 13118, 13167, 14900, 14949, 19256, 19305, 20444, 20493, 21731, 21780, 25196, 25245, 25592, 25641, 29750, 29799, 31037, 31086, 31829, 31878, 33908, 33957, 34700, 34749, 36680, 36729, 37472, 37521, 38561, 38610, 38957, 39006, 41135, 41184, 41630, 41679, 43016, 43065, 45788, 45837, 47372, 47421, 49055, 49104, 51926, 51975, 52619, 52668, 53015, 53064, 55193, 55242, 56282, 56331, 58064, 58113, 62618, 62667, 63806, 63855, 64103, 64152, 64697, 64746, 65192, 65241, 65984, 66033, 66578, 66627, 66875, 66924, 67568, 67617, 73409, 73458, 75092, 75141, 75983, 76032, 76181, 76230, 80537, 80586, 80933, 80982, 86576, 86625, 87269, 87318, 88160, 88209, 88358, 88407, 92021, 92070, 92318, 92367, 94496, 94545, 96872, 96921, 99149, 99198, 102416, 102465, 102812, 102861, 106871, 106920, 107465, 107514, 110732, 110781, 111227, 111276, 112118, 112167, 112316, 112365, 115682, 115731, 116375, 116424]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'g')","[44303, 44352, 51035, 51084, 60638, 60687, 64499, 64548, 71033, 71082, 79448, 79497, 94199, 94248, 98951, 99000, 105881, 105930]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$extractMutations$3', 'apply', '(?=([.,\\s)\\]\\\'"":;\\-?!/]|$))', ' ')","[116786, 116840, 117111, 117165, 117436, 117490, 117761, 117815]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'y')","[36878, 36927, 38759, 38808, 52817, 52866, 67766, 67815, 78260, 78309, 80735, 80784, 94694, 94743, 102614, 102663, 110435, 110484]"
