"('Parser.java', 'com.hp.hpl.jena.iri.impl.Parser', '<init>', '(([^:/?#]*):)?(//((([^/?#@]*)@)?(\\[[^/?#]*\\]|([^/?#:]*))?(:([^/?#]*))?))?([^#?]*)?(\\?([^#]*))?(#(.*))?', 'http://www.w3.org/2002/07/owl#')","[9236, 9740, 10291, 10983, 33397, 33890, 34429, 35106, 35711, 36204, 36743, 37420, 38025, 38518, 39057, 39734, 40372, 40876, 41427, 42119, 65389, 65915, 66490, 67212]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  rdfs:range pe:Person ;')","[29703, 61601]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', 'po:normalMaximum rdf:type owl:FunctionalProperty ;')","[31263, 63221]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'org.semantictools.jsonld.impl.LdParserImplTest')","[156, 8927]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  distributed under the License is distributed on an ""AS IS"" BASIS,')","[14935, 16131, 46265, 47507]"
"('ComponentPatternParser.java', 'com.hp.hpl.jena.iri.impl.ComponentPatternParser', 'classify', '([(](?![?]))|([(][?])|([)])|(\\[)|(\\])|([@][{])|([}]|[a-z]-[a-z])', '!')",[5374]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    totalScore = normalScore + extraCreditScore - penalty')","[30171, 62087]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  rdfs:comment ""Specifies a numeric range of values between some minimum and maximum value.  Whether the end points are included in the range is determined by the context in which the ValueRange is used.  See the description of the OrderedValue class for details."" .')","[26687, 58469]"
"('ComponentPatternParser.java', 'com.hp.hpl.jena.iri.impl.ComponentPatternParser', 'classify', '([(](?![?]))|([(][?])|([)])|(\\[)|(\\])|([@][{])|([}]|[a-z]-[a-z])', ';')",[1488]
"('LdValidationServiceImpl.java', 'org.semantictools.jsonld.impl.LdValidationServiceImpl$Delegate', 'validateLiteral', '\\S*', 'foo bar')",[35451]
