"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', '[GC 3542K->2405K(423936K), 0.0024280 secs]')",[263475]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'unparsableParamDefault(com.google.caliper.runner.MalformedBenchmarksTest)')","[1486, 3861]"
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', '  18142   74             java.lang.CharacterData::of (120 bytes)   made not entrant')",[157449]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', '    uintx AHRMinSurvivorAge                         = 2               {product}           ')",[61449]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*::.*( \\(((\\d+ bytes)|(static))\\))?', '     bool Debugging                                 = false           {product}           ')","[168352, 197794, 228327]"
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', '     bool PrintClassLoadingTimeStamps               = false           {product}           ')",[97233]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '\\s*(\\w+)\\s+(\\w+)\\s+:?=\\s+([^\\s]*)\\s+\\{([^}]*)\\}\\s*', '    uintx CMSOldPLABMin                             = 16              {product}           ')","[68913, 165700, 195142, 225675]"
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*::.*( \\(((\\d+ bytes)|(static))\\))?', 'I got a result! runtime: 33321597.000000ns')",[261831]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*::.*( \\(((\\d+ bytes)|(static))\\))?', ' bool EliminateAutoBox                     = false            {C2 diagnostic}')",[19785]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '\\s*(\\w+)\\s+(\\w+)\\s+:?=\\s+([^\\s]*)\\s+\\{([^}]*)\\}\\s*', '     bool ParallelGCRetainPLAB                      = false           {diagnostic}        ')",[93465]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*::.*( \\(((\\d+ bytes)|(static))\\))?', ' bool UseLWPSynchronization                = true             {product}')",[54633]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', '     bool LoopUnswitching                           = true            {C2 product}        ')","[86577, 172480, 201922, 232455]"
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', '   2036  173    b        java.nio.Buffer::checkIndex (22 bytes)')",[152457]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', '   3435  120    b        java.lang.Short::shortValue (5 bytes)')",[250179]
