"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'OpeningTime.class')","[178099, 209083]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'chargingStationPlacedEventAddressEmptyCoordinates(io.motown.vas.viewmodel.VasEventHandlerTest)')","[4381, 12650, 15770, 19878, 27880, 37301, 43501, 47352, 54864, 63709, 70135, 78627, 88624, 95258, 99940, 109167, 120028, 127740, 137457, 149572, 155455]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'chargingStationOpeningTimesAddedEvent(io.motown.vas.viewmodel.VasEventHandlerTest)')","[3229, 11750, 15581, 18762, 26584, 36257, 42457, 46308, 53640, 62737, 68947, 77259, 87508, 94142, 98644, 107691, 118804, 126372, 135909, 148060, 153835]"
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'chargingStationLocationImprovedEventCoordinatesEmptyAddress(io.motown.vas.viewmodel.VasEventHandlerTest)')","[125, 149, 173, 829, 861, 893, 9875, 9900, 9925, 15182, 16437, 16468, 16499, 20548, 20576, 20604, 23884, 23920, 23956, 34082, 34111, 34140, 40282, 40311, 40340, 44133, 44162, 44191, 47978, 48004, 48030, 51090, 51124, 51158, 60712, 60739, 60766, 66472, 66505, 66538, 70849, 70879, 70909, 74409, 74447, 74485, 85183, 85214, 85245, 91817, 91848, 91879, 95944, 95980, 96016, 100720, 100753, 100786, 104616, 104657, 104698, 116254, 116288, 116322, 123522, 123560, 123598, 128564, 128599, 128634, 132684, 132727, 132770, 144910, 144952, 144994, 150460, 150505, 150550]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'chargingStationAcceptedEventUnknownChargingStationNoExceptionThrown(io.motown.vas.viewmodel.VasEventHandlerTest)')","[4125, 12450, 15728, 19630, 27592, 37069, 43269, 47120, 54592, 63493, 69871, 78323, 88376, 95010, 99652, 108839, 119756, 127436, 137113, 149236, 155095]"
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'chargingStationBootedEventChargingStationCreated(io.motown.vas.viewmodel.VasEventHandlerTest)')","[4797, 4829, 4861, 12975, 13000, 13025, 20281, 20312, 20343, 28348, 28384, 28420, 37678, 37707, 37736, 43878, 43907, 43936, 47729, 47758, 47787, 55306, 55340, 55374, 64060, 64087, 64114, 70564, 70597, 70630, 79121, 79159, 79197, 89027, 89058, 89089, 95661, 95692, 95723, 100408, 100444, 100480, 109700, 109741, 109782, 120470, 120504, 120538, 128234, 128272, 128310, 138016, 138059, 138102, 150118, 150160, 150202, 156040, 156085, 156130]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'fromConnector240Volt3Phase16Amp(io.motown.vas.viewmodel.model.ChargingCapabilityTest)')","[6632, 9112, 14397, 16208, 22468, 30419, 33219, 39336, 49768, 57259, 59899, 65600, 72899, 81310, 84270, 90803, 102965, 112066, 115266, 122423, 130939, 140500, 143860, 213627, 215765]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'ConnectorType.class')",[169294]
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'newChargingStationSetValueOperatorSetsValue(io.motown.vas.viewmodel.model.ChargingStationTest)')","[5144, 7500, 13341, 15957, 21011, 28739, 31399, 38104, 48409, 55675, 58183, 64456, 71344, 79534, 82346, 89483, 101263, 110146, 113186, 120971, 129139, 138484, 141676, 210933, 211743]"
"('ReflectionUtils.java', 'org.springframework.util.ReflectionUtils', 'isCglibRenamedMethod', 'CGLIB\\$(.+)\\$\\d+', 'unconfigurableExecutorService')","[187415, 188675, 189935, 191195, 192455, 193715, 194975, 196235, 197495, 198755, 200015, 201275, 202523, 203763, 205011, 209539]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '\\Qio\\E', 'io')","[156814, 157542, 158270, 158951, 159692, 160424, 161152, 161833, 162574, 163306, 164034, 164762, 165443, 166184, 166916, 167644, 168325, 169066, 169807, 170548, 171289, 172030, 172771, 173503, 174231, 174912, 175605, 176359, 177113, 177867, 178612, 179353, 180046, 180800, 181554, 182308, 183062, 183807, 184539, 185267, 185995, 186723, 206278, 207103, 207928, 208753]"
"('ReflectionUtils.java', 'org.springframework.util.ReflectionUtils', 'isCglibRenamedMethod', 'CGLIB\\$(.+)\\$\\d+', 'newScheduledThreadPool')","[187532, 187571, 188792, 188831, 190052, 190091, 191312, 191351, 192572, 192611, 193832, 193871, 195092, 195131, 196352, 196391, 197612, 197651, 198872, 198911, 200132, 200171, 201392, 201431, 202637, 202675, 203880, 203919, 205125, 205163, 209653, 209691]"
"('ReflectionUtils.java', 'org.springframework.util.ReflectionUtils', 'isCglibRenamedMethod', 'CGLIB\\$(.+)\\$\\d+', 'privilegedThreadFactory')","[187376, 188636, 189896, 191156, 192416, 193676, 194936, 196196, 197456, 198716, 199976, 201236, 202485, 203724, 204973, 209501]"
