"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 481:             1             16  [Ljava.security.cert.Certificate;')",[14198]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 167:             6            240  java.util.WeakHashMap$Entry')",[19706]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', '  36:           256           6144  java.lang.Long')",[30143]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 368:             1             32  [Ljava.lang.OutOfMemoryError;')","[11147, 25133, 38775]"
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 146:            14            336  java.util.regex.Pattern$GroupHead')",[33003]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', '  41:           103           4944  java.util.HashMap')",[30273]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'memoryLayoutFor64BitCoops(com.arturmkrtchyan.sizeof4j.util.JvmUtilsTest)')","[559, 1108]"
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 166:             8            256  sun.misc.ProxyGenerator$PrimitiveTypeInfo')","[5693, 33523]"
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 438:             1             16  org.junit.internal.MethodSorter$2')",[13037]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', '   7:          4107         350704  [B')","[15386, 29389]"
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 102:            29            696  javassist.bytecode.ConstantAttribute')",[3965]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 190:             5            160  java.lang.ClassLoader$NativeLibrary')",[34147]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'vmArch(com.arturmkrtchyan.sizeof4j.util.JvmUtilsTest)')","[370, 910]"
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 499:             1             16  org.apache.maven.surefire.junitcore.pc.SingleThreadScheduler$1')","[28670, 42181]"
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 233:             4             96  org.junit.internal.runners.rules.RuleMemberValidator')",[21488]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 127:            19            456  java.lang.invoke.DirectMethodHandle')",[4640]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 100:            19            760  sun.util.locale.BaseLocale$Key')","[17897, 31807]"
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 189:             7            168  sun.jvmstat.monitor.Units')",[6314]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', '   7:          5571         424792  [C')",[1400]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 125:            19            456  javassist.bytecode.SignatureAttribute')","[18572, 32457]"
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 116:            17            544  java.security.CodeSource')",[32223]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 250:             5             80  java.util.concurrent.CopyOnWriteArraySet')",[7961]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', '  58:            84           2960  [Ljava.lang.String;')",[2777]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', ' 492:             1             16  org.apache.maven.surefire.util.DefaultScanResult')",[14495]
"('HotSpotHistogram.java', 'com.arturmkrtchyan.sizeof4j.calculation.hotspot.HotSpotHistogram', 'parse', '\\s+(\\d+):{1}\\s+(\\d+)\\s+(\\d+)\\s+(.+)', '  94:            36            864  javassist.bytecode.IntegerInfo')",[3749]
